"Make","Model","Vehicle Class","Engine Size(L)","Cylinders","Transmission","Fuel Type","Fuel Consumption Comb (L/100 km)","CO2 Emissions(g/km)"
"BMW","528i xDRIVE","MID-SIZE",2,4,"A8","Z",9.1,209
"BMW","535d xDRIVE","MID-SIZE",3,6,"A8","D",7.9,213
"BMW","535i xDRIVE","MID-SIZE",3,6,"A8","Z",10.1,232
"BMW","535i xDRIVE GRAN TURISMO","FULL-SIZE",3,6,"A8","Z",10.7,246
"BMW","550i xDRIVE","MID-SIZE",4.4,8,"A8","Z",12.2,281
"BMW","550i xDRIVE GRAN TURISMO","FULL-SIZE",4.4,8,"A8","Z",12.7,292
"BMW","640i xDRIVE GRAN COUPE","COMPACT",3,6,"A8","Z",10.1,232
"BMW","650i xDRIVE CABRIOLET","SUBCOMPACT",4.4,8,"A8","Z",12.7,292
"BMW","650i xDRIVE COUPE","COMPACT",4.4,8,"A8","Z",12.2,281
"BMW","650i xDRIVE GRAN COUPE","COMPACT",4.4,8,"A8","Z",12.7,292
"BMW","740Li xDRIVE","FULL-SIZE",3,6,"A8","Z",10.7,246
"BMW","750i xDRIVE","FULL-SIZE",4.4,8,"A8","Z",12.7,292
"BMW","750Li xDRIVE","FULL-SIZE",4.4,8,"A8","Z",12.7,292
"BMW","760Li","FULL-SIZE",6,12,"A8","Z",15.5,356
"BMW","ACTIVEHYBRID 3","COMPACT",3,6,"A8","Z",8.3,191
"BMW","ACTIVEHYBRID 5","MID-SIZE",3,6,"A8","Z",9.3,214
"BMW","ACTIVEHYBRID 7L","FULL-SIZE",3,6,"A8","Z",9.2,212
"BMW","ALPINA B7 xDRIVE LWB","FULL-SIZE",4.4,8,"A8","Z",12.7,292
"BMW","ALPINA B7 xDRIVE SWB","FULL-SIZE",4.4,8,"A8","Z",12.7,292
"BMW","M5","MID-SIZE",4.4,8,"AM7","Z",14.7,338
"BMW","M5","MID-SIZE",4.4,8,"M6","Z",13.8,317
"BMW","M6","COMPACT",4.4,8,"AM7","Z",14.7,338
"BMW","M6","COMPACT",4.4,8,"M6","Z",13.8,317
"BMW","M6 CABRIOLET","SUBCOMPACT",4.4,8,"AM7","Z",14.7,338
"BMW","M6 CABRIOLET","SUBCOMPACT",4.4,8,"M6","Z",13.8,317
"BMW","M6 GRAN COUPE","COMPACT",4.4,8,"AM7","Z",14.7,338
"BMW","M6 GRAN COUPE","COMPACT",4.4,8,"M6","Z",13.8,317
"BMW","X1 xDRIVE28i","SUV - SMALL",2,4,"A8","Z",9.1,209
"BMW","X1 xDRIVE35i","SUV - SMALL",3,6,"A6","Z",11.3,260
"BMW","X3 xDRIVE28i","SUV - SMALL",2,4,"A8","Z",10,230
"BMW","X3 xDRIVE35i","SUV - SMALL",3,6,"A8","Z",11,253
"BMW","X5 xDRIVE35i","SUV - STANDARD",3,6,"A8","Z",11.1,255
"BMW","X5 xDRIVE50i","SUV - STANDARD",4.4,8,"A8","Z",13.9,320
"BMW","X6 M","SUV - STANDARD",4.4,8,"A6","Z",16.1,370
"BMW","X6 xDRIVE35i","SUV - STANDARD",3,6,"A8","Z",11.9,274
"BMW","X6 xDRIVE50i","SUV - STANDARD",4.4,8,"A8","Z",14.1,324
"BMW","Z4 sDRIVE28i","TWO-SEATER",2,4,"A8","Z",9.1,209
"BMW","Z4 sDRIVE28i","TWO-SEATER",2,4,"M6","Z",8.7,200
"BMW","Z4 sDRIVE35i","TWO-SEATER",3,6,"AM7","Z",12.1,278
"BMW","Z4 sDRIVE35i","TWO-SEATER",3,6,"M6","Z",11,253
"BMW","Z4 sDRIVE35is","TWO-SEATER",3,6,"AM7","Z",12.1,278
"BUICK","ENCLAVE","SUV - STANDARD",3.6,6,"A6","X",12.3,283
"BUICK","ENCLAVE AWD","SUV - STANDARD",3.6,6,"A6","X",12.6,290
"BUICK","ENCORE","SUV - SMALL",1.4,4,"AS6","X",8.5,196
"BUICK","ENCORE AWD","SUV - SMALL",1.4,4,"AS6","X",9.2,212
"BUICK","LACROSSE","MID-SIZE",3.6,6,"AS6","X",11.5,264
"BUICK","LACROSSE","MID-SIZE",3.6,6,"AS6","E",15.6,250
"BUICK","LACROSSE AWD","MID-SIZE",3.6,6,"AS6","X",11.5,264
"BUICK","LACROSSE AWD","MID-SIZE",3.6,6,"AS6","E",16.5,264
"BUICK","LACROSSE eASSIST","MID-SIZE",2.4,4,"AS6","X",8.2,189
"BUICK","REGAL","MID-SIZE",2,4,"AS6","Z",9.9,228
"BUICK","REGAL","MID-SIZE",2,4,"M6","Z",9.8,225
"BUICK","REGAL AWD","MID-SIZE",2,4,"AS6","Z",10.7,246
"BUICK","REGAL eASSIST","MID-SIZE",2.4,4,"AS6","X",8.2,189
"BUICK","VERANO","COMPACT",2,4,"AS6","Z",9.9,228
"BUICK","VERANO","COMPACT",2,4,"M6","Z",9.8,225
"BUICK","VERANO","COMPACT",2.4,4,"AS6","X",9.5,218
"CADILLAC","ATS","COMPACT",2,4,"AS6","Z",9.6,221
"CADILLAC","ATS","COMPACT",2,4,"M6","Z",10.2,235
"CADILLAC","ATS","COMPACT",2.5,4,"AS6","X",9,207
"CADILLAC","ATS","COMPACT",3.6,6,"AS6","X",10.9,251
"CADILLAC","ATS AWD","COMPACT",2,4,"AS6","Z",10.1,232
"CADILLAC","ATS AWD","COMPACT",3.6,6,"AS6","X",11.3,260
"CADILLAC","CTS COUPE","MID-SIZE",3.6,6,"AS6","X",11.2,258
"CADILLAC","CTS COUPE AWD","MID-SIZE",3.6,6,"AS6","X",11.4,262
"CADILLAC","CTS SEDAN","MID-SIZE",2,4,"AS6","Z",10.1,232
"CADILLAC","CTS SEDAN","MID-SIZE",3.6,6,"AS8","X",10.8,248
"CADILLAC","CTS SEDAN AWD","MID-SIZE",2,4,"AS6","Z",10.8,248
"CADILLAC","CTS SEDAN AWD","MID-SIZE",3.6,6,"AS6","X",11.3,260
"CADILLAC","CTS SEDAN Vsport","MID-SIZE",3.6,6,"AS8","Z",12.8,294
"CADILLAC","CTS SPORT WAGON","STATION WAGON - SMALL",3,6,"AS6","X",11,253
"CADILLAC","CTS SPORT WAGON","STATION WAGON - SMALL",3.6,6,"AS6","X",11.3,260
"CADILLAC","CTS SPORT WAGON AWD","STATION WAGON - SMALL",3,6,"AS6","X",11.1,255
"CADILLAC","CTS SPORT WAGON AWD","STATION WAGON - SMALL",3.6,6,"AS6","X",11.4,262
"CADILLAC","CTS-V COUPE","MID-SIZE",6.2,8,"AS6","Z",16.6,382
"CADILLAC","CTS-V COUPE","MID-SIZE",6.2,8,"M6","Z",14.8,340
"CADILLAC","CTS-V SEDAN","MID-SIZE",6.2,8,"AS6","Z",16.6,382
"CADILLAC","CTS-V SEDAN","MID-SIZE",6.2,8,"M6","Z",14.8,340
"CADILLAC","CTS-V SPORT WAGON","STATION WAGON - SMALL",6.2,8,"AS6","Z",16.6,382
"CADILLAC","CTS-V SPORT WAGON","STATION WAGON - SMALL",6.2,8,"M6","Z",14.8,340
"CADILLAC","ESCALADE AWD","SUV - STANDARD",6.2,8,"A6","Z",14.7,338
"CADILLAC","ESCALADE AWD","SUV - STANDARD",6.2,8,"A6","E",20.1,322
"CADILLAC","ESCALADE ESV AWD","SUV - STANDARD",6.2,8,"A6","Z",16.4,377
"CADILLAC","ESCALADE ESV AWD","SUV - STANDARD",6.2,8,"A6","E",22.1,354
"CADILLAC","SRX","SUV - STANDARD",3.6,6,"AS6","X",12.3,283
"CADILLAC","SRX AWD","SUV - STANDARD",3.6,6,"AS6","X",12.8,294
"CADILLAC","XTS","FULL-SIZE",3.6,6,"AS6","X",11.4,262
"CADILLAC","XTS AWD","FULL-SIZE",3.6,6,"AS6","X",11.8,271
"CADILLAC","XTS Vsport AWD","FULL-SIZE",3.6,6,"AS6","Z",12.6,290
"CHEVROLET","CAMARO","COMPACT",3.6,6,"AS6","X",11.2,258
"CHEVROLET","CAMARO","COMPACT",3.6,6,"M6","X",11.7,269
"CHEVROLET","CAMARO 2LS","COMPACT",3.6,6,"AS6","X",10.5,242
"CHEVROLET","CAMARO SS","COMPACT",6.2,8,"AS6","Z",12.8,294
"CHEVROLET","CAMARO SS","COMPACT",6.2,8,"M6","Z",12.7,292
"CHEVROLET","CAMARO ZL1","COMPACT",6.2,8,"AS6","Z",16.6,382
"CHEVROLET","CAMARO ZL1","COMPACT",6.2,8,"M6","Z",14.8,340
"CHEVROLET","CORVETTE","TWO-SEATER",6.2,8,"AS6","Z",12,276
"CHEVROLET","CORVETTE","TWO-SEATER",6.2,8,"M7","Z",11.2,258
"CHEVROLET","CRUZE","MID-SIZE",1.4,4,"AS6","X",7.8,179
"CHEVROLET","CRUZE","MID-SIZE",1.4,4,"M6","X",7.8,179
"CHEVROLET","CRUZE","MID-SIZE",1.8,4,"AS6","X",8.8,202
"CHEVROLET","CRUZE","MID-SIZE",1.8,4,"M6","X",8.2,189
"CHEVROLET","CRUZE DIESEL","MID-SIZE",2,4,"AS6","D",7.1,192
"CHEVROLET","CRUZE ECO","MID-SIZE",1.4,4,"A6","X",7.7,177
"CHEVROLET","CRUZE ECO","MID-SIZE",1.4,4,"M6","X",7.1,163
"CHEVROLET","EQUINOX","SUV - SMALL",2.4,4,"A6","X",9.1,209
"CHEVROLET","EQUINOX","SUV - SMALL",3.6,6,"A6","X",12,276
"CHEVROLET","EQUINOX","SUV - SMALL",3.6,6,"A6","E",16.2,259
"CHEVROLET","EQUINOX AWD","SUV - SMALL",2.4,4,"A6","X",10,230
"CHEVROLET","EQUINOX AWD","SUV - SMALL",3.6,6,"A6","X",12.6,290
"CHEVROLET","EQUINOX AWD","SUV - SMALL",3.6,6,"A6","E",17,272
"CHEVROLET","EXPRESS 1500 CARGO","VAN - CARGO",4.3,6,"A4","X",15.1,347
"CHEVROLET","EXPRESS 1500 CARGO","VAN - CARGO",5.3,8,"A4","X",15.9,366
"CHEVROLET","EXPRESS 1500 CARGO","VAN - CARGO",5.3,8,"A4","E",20.9,334
"CHEVROLET","EXPRESS 1500 CARGO AWD","VAN - CARGO",5.3,8,"A4","X",16.5,380
"CHEVROLET","EXPRESS 1500 CARGO AWD","VAN - CARGO",5.3,8,"A4","E",21.5,344
"CHEVROLET","EXPRESS 1500 CARGO CONV","VAN - CARGO",5.3,8,"A4","X",16.5,380
"CHEVROLET","EXPRESS 1500 CARGO CONV","VAN - CARGO",5.3,8,"A4","E",21.5,344
"CHEVROLET","EXPRESS 1500 CARGO CONV AWD","VAN - CARGO",5.3,8,"A4","X",16.5,380
"CHEVROLET","EXPRESS 1500 CARGO CONV AWD","VAN - CARGO",5.3,8,"A4","E",22.6,362
"CHEVROLET","EXPRESS 1500 PASSENGER","VAN - PASSENGER",5.3,8,"A4","X",16.5,380
"CHEVROLET","EXPRESS 1500 PASSENGER","VAN - PASSENGER",5.3,8,"A4","E",21.5,344
"CHEVROLET","EXPRESS 1500 PASSENGER AWD","VAN - PASSENGER",5.3,8,"A4","X",16.5,380
"CHEVROLET","EXPRESS 1500 PASSENGER AWD","VAN - PASSENGER",5.3,8,"A4","E",22.6,362
"CHEVROLET","EXPRESS 2500 PASSENGER","VAN - PASSENGER",4.8,8,"A6","X",18,414
"CHEVROLET","EXPRESS 2500 PASSENGER","VAN - PASSENGER",6,8,"A6","X",18.8,432
"CHEVROLET","EXPRESS 2500 PASSENGER","VAN - PASSENGER",6,8,"A6","E",25.7,411
"CHEVROLET","EXPRESS 3500 PASSENGER","VAN - PASSENGER",4.8,8,"A6","X",18.2,419
"CHEVROLET","EXPRESS 3500 PASSENGER","VAN - PASSENGER",6,8,"A6","X",18.9,435
"CHEVROLET","EXPRESS 3500 PASSENGER","VAN - PASSENGER",6,8,"A6","E",25.8,413
"CHEVROLET","IMPALA","FULL-SIZE",2.5,4,"AS6","X",9.6,221
"CHEVROLET","IMPALA","FULL-SIZE",3.6,6,"AS6","X",10.6,244
"CHEVROLET","IMPALA","FULL-SIZE",3.6,6,"AS6","E",14.3,229
"CHEVROLET","IMPALA ECO","FULL-SIZE",2.4,4,"AS6","X",8.7,200
"CHEVROLET","MALIBU","MID-SIZE",2,4,"AS6","Z",9.9,228
"CHEVROLET","MALIBU","MID-SIZE",2.5,4,"AS6","X",8,184
"CHEVROLET","ORLANDO","SUV - SMALL",2.4,4,"AS6","X",10.6,244
"CHEVROLET","ORLANDO","SUV - SMALL",2.4,4,"M6","X",10.2,235
"CHEVROLET","SILVERADO","PICKUP TRUCK - STANDARD",4.3,6,"A6","X",11.8,271
"CHEVROLET","SILVERADO","PICKUP TRUCK - STANDARD",4.3,6,"A6","E",16.8,269
"CHEVROLET","SILVERADO","PICKUP TRUCK - STANDARD",5.3,8,"A6","X",12.7,292
"CHEVROLET","SILVERADO","PICKUP TRUCK - STANDARD",5.3,8,"A6","E",16.9,270
"CHEVROLET","SILVERADO","PICKUP TRUCK - STANDARD",6.2,8,"A6","Z",14.1,324
"CHEVROLET","SILVERADO 4WD","PICKUP TRUCK - STANDARD",4.3,6,"A6","X",12.6,290
"CHEVROLET","SILVERADO 4WD","PICKUP TRUCK - STANDARD",4.3,6,"A6","E",17.8,285
"CHEVROLET","SILVERADO 4WD","PICKUP TRUCK - STANDARD",5.3,8,"A6","X",13,299
"CHEVROLET","SILVERADO 4WD","PICKUP TRUCK - STANDARD",5.3,8,"A6","E",17.3,277
"CHEVROLET","SILVERADO 4WD","PICKUP TRUCK - STANDARD",6.2,8,"A6","Z",14.3,329
"CHEVROLET","SONIC","COMPACT",1.4,4,"AS6","X",8,184
"CHEVROLET","SONIC","COMPACT",1.4,4,"M6","X",7.5,173
"CHEVROLET","SONIC","COMPACT",1.8,4,"AS6","X",8.3,191
"CHEVROLET","SONIC","COMPACT",1.8,4,"M5","X",7.9,182
"CHEVROLET","SONIC RS","COMPACT",1.4,4,"AS6","X",8.3,191
"CHEVROLET","SONIC RS","COMPACT",1.4,4,"M6","X",8,184
"CHEVROLET","SONIC 5","MID-SIZE",1.4,4,"AS6","X",8,184
"CHEVROLET","SONIC 5","MID-SIZE",1.4,4,"M6","X",7.5,172
"CHEVROLET","SONIC 5","MID-SIZE",1.8,4,"AS6","X",8.3,191
"CHEVROLET","SONIC 5","MID-SIZE",1.8,4,"M5","X",7.9,182
"CHEVROLET","SONIC 5 RS","MID-SIZE",1.4,4,"AS6","X",8.3,191
"CHEVROLET","SONIC 5 RS","MID-SIZE",1.4,4,"M6","X",8,184
"CHEVROLET","SPARK","SUBCOMPACT",1.2,4,"AV","X",6.9,159
"CHEVROLET","SPARK","SUBCOMPACT",1.2,4,"M5","X",6.9,159
"CHEVROLET","SUBURBAN","SUV - STANDARD",5.3,8,"A6","X",13.8,317
"CHEVROLET","SUBURBAN","SUV - STANDARD",5.3,8,"A6","E",18.4,294
"CHEVROLET","SUBURBAN 4WD","SUV - STANDARD",5.3,8,"A6","X",13.8,317
"CHEVROLET","SUBURBAN 4WD","SUV - STANDARD",5.3,8,"A6","E",18.4,294
"CHEVROLET","TAHOE","SUV - STANDARD",5.3,8,"A6","X",13.8,317
"CHEVROLET","TAHOE","SUV - STANDARD",5.3,8,"A6","E",18.4,294
"CHEVROLET","TAHOE 4WD","SUV - STANDARD",5.3,8,"A6","X",13.8,317
"CHEVROLET","TAHOE 4WD","SUV - STANDARD",5.3,8,"A6","E",18.4,294
"CHEVROLET","TRAVERSE","SUV - STANDARD",3.6,6,"A6","X",12.3,283
"CHEVROLET","TRAVERSE AWD","SUV - STANDARD",3.6,6,"A6","X",12.6,290
"CHEVROLET","TRAX","SUV - SMALL",1.4,4,"AS6","X",8.4,193
"CHEVROLET","TRAX","SUV - SMALL",1.4,4,"M6","X",8.1,186
"CHEVROLET","TRAX AWD","SUV - SMALL",1.4,4,"AS6","X",9,207
"CHRYSLER","300","FULL-SIZE",3.6,6,"A8","X",10.3,237
"CHRYSLER","200 CONVERTIBLE","COMPACT",2.4,4,"A4","X",10.1,232
"CHRYSLER","200 CONVERTIBLE","COMPACT",2.4,4,"A6","X",10.7,246
"CHRYSLER","200 CONVERTIBLE FFV","COMPACT",3.6,6,"A6","X",10.5,242
"CHRYSLER","200 CONVERTIBLE FFV","COMPACT",3.6,6,"A6","E",14.4,230
"CHRYSLER","200 SEDAN","MID-SIZE",2.4,4,"A4","X",9.8,225
"CHRYSLER","200 SEDAN","MID-SIZE",2.4,4,"A6","X",10,230
"CHRYSLER","200 SEDAN FFV","MID-SIZE",3.6,6,"A6","X",10.5,242
"CHRYSLER","200 SEDAN FFV","MID-SIZE",3.6,6,"A6","E",14.4,230
"CHRYSLER","300 (MDS)","FULL-SIZE",5.7,8,"A5","X",12.8,294
"CHRYSLER","300 AWD","FULL-SIZE",3.6,6,"A8","X",10.9,251
"CHRYSLER","300 AWD (MDS)","FULL-SIZE",5.7,8,"A5","X",13.4,308
"CHRYSLER","300 AWD FFV","FULL-SIZE",3.6,6,"A8","X",10.9,251
"CHRYSLER","300 AWD FFV","FULL-SIZE",3.6,6,"A8","E",14.8,237
"CHRYSLER","300 FFV","FULL-SIZE",3.6,6,"A8","X",10.3,237
"CHRYSLER","300 FFV","FULL-SIZE",3.6,6,"A8","E",13.9,222
"CHRYSLER","300 SRT (MDS)","FULL-SIZE",6.4,8,"A5","Z",13.8,317
"CHRYSLER","TOWN & COUNTRY FFV","MINIVAN",3.6,6,"A6","X",12,276
"CHRYSLER","TOWN & COUNTRY FFV","MINIVAN",3.6,6,"A6","E",16.8,269
"DODGE","AVENGER","MID-SIZE",2.4,4,"A4","X",9.8,225
"DODGE","AVENGER","MID-SIZE",2.4,4,"A6","X",10,230
"DODGE","AVENGER FFV","MID-SIZE",3.6,6,"A6","X",10.5,242
"DODGE","AVENGER FFV","MID-SIZE",3.6,6,"A6","E",14.4,230
"DODGE","CHALLENGER","MID-SIZE",3.6,6,"A5","X",11.2,258
"DODGE","CHALLENGER","MID-SIZE",5.7,8,"M6","X",13.1,301
"DODGE","CHALLENGER (MDS)","MID-SIZE",5.7,8,"A5","X",12.8,294
"DODGE","CHALLENGER SRT","MID-SIZE",6.4,8,"M6","Z",13.9,320
"DODGE","CHALLENGER SRT (MDS)","MID-SIZE",6.4,8,"A5","Z",13.8,317
"DODGE","CHARGER","FULL-SIZE",3.6,6,"A5","X",11.2,258
"DODGE","CHARGER","FULL-SIZE",3.6,6,"A8","X",10.3,237
"DODGE","CHARGER (MDS)","FULL-SIZE",5.7,8,"A5","X",12.8,294
"DODGE","CHARGER AWD","FULL-SIZE",3.6,6,"A8","X",10.9,251
"DODGE","CHARGER AWD (MDS)","FULL-SIZE",5.7,8,"A5","X",13.4,308
"DODGE","CHARGER AWD FFV","FULL-SIZE",3.6,6,"A8","X",10.9,251
"DODGE","CHARGER AWD FFV","FULL-SIZE",3.6,6,"A8","E",14.8,237
"DODGE","CHARGER FFV","FULL-SIZE",3.6,6,"A5","X",11.2,258
"DODGE","CHARGER FFV","FULL-SIZE",3.6,6,"A5","E",15.7,251
"DODGE","CHARGER FFV","FULL-SIZE",3.6,6,"A8","X",10.2,235
"DODGE","CHARGER FFV","FULL-SIZE",3.6,6,"A8","E",13.9,222
"DODGE","CHARGER SRT (MDS)","FULL-SIZE",6.4,8,"A5","Z",13.8,317
"DODGE","DART","MID-SIZE",2,4,"M6","X",8.1,186
"DODGE","DART","MID-SIZE",2.4,4,"A6","X",8.6,198
"DODGE","DART","MID-SIZE",2.4,4,"M6","X",8.8,202
"DODGE","DART FFV","MID-SIZE",2,4,"A6","X",8.6,198
"DODGE","DART FFV","MID-SIZE",2,4,"A6","E",12.2,195
"DODGE","DART GT","MID-SIZE",2.4,4,"A6","X",9.2,212
"DODGE","DART GT","MID-SIZE",2.4,4,"M6","X",8.8,202
